order_date,branch_id,warehouse_id,item_id,item_name,order_qty,safety_stock
2023-09-01,1,1,1,계란 1판,29,60
2023-09-01,1,1,2,돈코츠 육수 1팩,37,80
2023-09-01,1,1,3,쪽파 1봉지,25,50
2023-09-01,1,1,4,마늘 1봉지,23,40
2023-09-01,1,1,5,차슈 1kg,13,30
2023-09-01,1,2,1,계란 1판,28,60
2023-09-01,1,2,2,돈코츠 육수 1팩,43,80
2023-09-01,1,2,3,쪽파 1봉지,26,50
2023-09-01,1,2,4,마늘 1봉지,18,40
2023-09-01,1,2,5,차슈 1kg,16,30
2023-09-01,1,3,1,계란 1판,28,60
2023-09-01,1,3,2,돈코츠 육수 1팩,38,80
2023-09-01,1,3,3,쪽파 1봉지,25,50
2023-09-01,1,3,4,마늘 1봉지,14,40
2023-09-01,1,3,5,차슈 1kg,10,30
2023-09-01,1,4,1,계란 1판,29,60
2023-09-01,1,4,2,돈코츠 육수 1팩,38,80
2023-09-01,1,4,3,쪽파 1봉지,26,50
2023-09-01,1,4,4,마늘 1봉지,18,40
2023-09-01,1,4,5,차슈 1kg,11,30
2023-09-01,1,5,1,계란 1판,36,60
2023-09-01,1,5,2,돈코츠 육수 1팩,41,80
2023-09-01,1,5,3,쪽파 1봉지,26,50
2023-09-01,1,5,4,마늘 1봉지,16,40
2023-09-01,1,5,5,차슈 1kg,14,30
2023-09-01,2,1,1,계란 1판,30,60
2023-09-01,2,1,2,돈코츠 육수 1팩,36,80
2023-09-01,2,1,3,쪽파 1봉지,26,50
2023-09-01,2,1,4,마늘 1봉지,18,40
2023-09-01,2,1,5,차슈 1kg,14,30
2023-09-01,2,2,1,계란 1판,28,60
2023-09-01,2,2,2,돈코츠 육수 1팩,46,80
2023-09-01,2,2,3,쪽파 1봉지,25,50
2023-09-01,2,2,4,마늘 1봉지,17,40
2023-09-01,2,2,5,차슈 1kg,18,30
2023-09-01,2,3,1,계란 1판,27,60
2023-09-01,2,3,2,돈코츠 육수 1팩,42,80
2023-09-01,2,3,3,쪽파 1봉지,20,50
2023-09-01,2,3,4,마늘 1봉지,17,40
2023-09-01,2,3,5,차슈 1kg,16,30
2023-09-01,2,4,1,계란 1판,34,60
2023-09-01,2,4,2,돈코츠 육수 1팩,43,80
2023-09-01,2,4,3,쪽파 1봉지,26,50
2023-09-01,2,4,4,마늘 1봉지,20,40
2023-09-01,2,4,5,차슈 1kg,11,30
2023-09-01,2,5,1,계란 1판,31,60
2023-09-01,2,5,2,돈코츠 육수 1팩,42,80
2023-09-01,2,5,3,쪽파 1봉지,31,50
2023-09-01,2,5,4,마늘 1봉지,23,40
2023-09-01,2,5,5,차슈 1kg,11,30
2023-09-01,3,1,1,계란 1판,32,60
2023-09-01,3,1,2,돈코츠 육수 1팩,40,80
2023-09-01,3,1,3,쪽파 1봉지,24,50
2023-09-01,3,1,4,마늘 1봉지,22,40
2023-09-01,3,1,5,차슈 1kg,19,30
2023-09-01,3,2,1,계란 1판,35,60
2023-09-01,3,2,2,돈코츠 육수 1팩,40,80
2023-09-01,3,2,3,쪽파 1봉지,26,50
2023-09-01,3,2,4,마늘 1봉지,22,40
2023-09-01,3,2,5,차슈 1kg,19,30
2023-09-01,3,3,1,계란 1판,31,60
2023-09-01,3,3,2,돈코츠 육수 1팩,43,80
2023-09-01,3,3,3,쪽파 1봉지,24,50
2023-09-01,3,3,4,마늘 1봉지,18,40
2023-09-01,3,3,5,차슈 1kg,19,30
2023-09-01,3,4,1,계란 1판,38,60
2023-09-01,3,4,2,돈코츠 육수 1팩,45,80
2023-09-01,3,4,3,쪽파 1봉지,31,50
2023-09-01,3,4,4,마늘 1봉지,24,40
2023-09-01,3,4,5,차슈 1kg,15,30
2023-09-01,3,5,1,계란 1판,36,60
2023-09-01,3,5,2,돈코츠 육수 1팩,52,80
2023-09-01,3,5,3,쪽파 1봉지,29,50
2023-09-01,3,5,4,마늘 1봉지,29,40
2023-09-01,3,5,5,차슈 1kg,8,30
2023-09-01,4,1,1,계란 1판,35,60
2023-09-01,4,1,2,돈코츠 육수 1팩,43,80
2023-09-01,4,1,3,쪽파 1봉지,26,50
2023-09-01,4,1,4,마늘 1봉지,22,40
2023-09-01,4,1,5,차슈 1kg,10,30
2023-09-01,4,2,1,계란 1판,33,60
2023-09-01,4,2,2,돈코츠 육수 1팩,46,80
2023-09-01,4,2,3,쪽파 1봉지,33,50
2023-09-01,4,2,4,마늘 1봉지,20,40
2023-09-01,4,2,5,차슈 1kg,14,30
2023-09-01,4,3,1,계란 1판,33,60
2023-09-01,4,3,2,돈코츠 육수 1팩,49,80
2023-09-01,4,3,3,쪽파 1봉지,30,50
2023-09-01,4,3,4,마늘 1봉지,21,40
2023-09-01,4,3,5,차슈 1kg,19,30
2023-09-01,4,4,1,계란 1판,36,60
2023-09-01,4,4,2,돈코츠 육수 1팩,51,80
2023-09-01,4,4,3,쪽파 1봉지,27,50
2023-09-01,4,4,4,마늘 1봉지,22,40
2023-09-01,4,4,5,차슈 1kg,16,30
2023-09-01,4,5,1,계란 1판,31,60
2023-09-01,4,5,2,돈코츠 육수 1팩,49,80
2023-09-01,4,5,3,쪽파 1봉지,31,50
2023-09-01,4,5,4,마늘 1봉지,24,40
2023-09-01,4,5,5,차슈 1kg,17,30
2023-09-01,5,1,1,계란 1판,29,60
2023-09-01,5,1,2,돈코츠 육수 1팩,44,80
2023-09-01,5,1,3,쪽파 1봉지,27,50
2023-09-01,5,1,4,마늘 1봉지,20,40
2023-09-01,5,1,5,차슈 1kg,16,30
2023-09-01,5,2,1,계란 1판,36,60
2023-09-01,5,2,2,돈코츠 육수 1팩,53,80
2023-09-01,5,2,3,쪽파 1봉지,30,50
2023-09-01,5,2,4,마늘 1봉지,24,40
2023-09-01,5,2,5,차슈 1kg,17,30
2023-09-01,5,3,1,계란 1판,29,60
2023-09-01,5,3,2,돈코츠 육수 1팩,48,80
2023-09-01,5,3,3,쪽파 1봉지,30,50
2023-09-01,5,3,4,마늘 1봉지,33,40
2023-09-01,5,3,5,차슈 1kg,17,30
2023-09-01,5,4,1,계란 1판,38,60
2023-09-01,5,4,2,돈코츠 육수 1팩,49,80
2023-09-01,5,4,3,쪽파 1봉지,26,50
2023-09-01,5,4,4,마늘 1봉지,29,40
2023-09-01,5,4,5,차슈 1kg,21,30
2023-09-01,5,5,1,계란 1판,41,60
2023-09-01,5,5,2,돈코츠 육수 1팩,47,80
2023-09-01,5,5,3,쪽파 1봉지,37,50
2023-09-01,5,5,4,마늘 1봉지,20,40
2023-09-01,5,5,5,차슈 1kg,21,30
2023-09-02,1,1,1,계란 1판,41,60
2023-09-02,1,1,2,돈코츠 육수 1팩,45,80
2023-09-02,1,1,3,쪽파 1봉지,28,50
2023-09-02,1,1,4,마늘 1봉지,24,40
2023-09-02,1,1,5,차슈 1kg,17,30
2023-09-02,1,2,1,계란 1판,31,60
2023-09-02,1,2,2,돈코츠 육수 1팩,49,80
2023-09-02,1,2,3,쪽파 1봉지,27,50
2023-09-02,1,2,4,마늘 1봉지,26,40
2023-09-02,1,2,5,차슈 1kg,16,30
2023-09-02,1,3,1,계란 1판,41,60
2023-09-02,1,3,2,돈코츠 육수 1팩,48,80
2023-09-02,1,3,3,쪽파 1봉지,30,50
2023-09-02,1,3,4,마늘 1봉지,28,40
2023-09-02,1,3,5,차슈 1kg,16,30
2023-09-02,1,4,1,계란 1판,39,60
2023-09-02,1,4,2,돈코츠 육수 1팩,56,80
2023-09-02,1,4,3,쪽파 1봉지,27,50
2023-09-02,1,4,4,마늘 1봉지,27,40
2023-09-02,1,4,5,차슈 1kg,21,30
2023-09-02,1,5,1,계란 1판,41,60
2023-09-02,1,5,2,돈코츠 육수 1팩,49,80
2023-09-02,1,5,3,쪽파 1봉지,29,50
2023-09-02,1,5,4,마늘 1봉지,28,40
2023-09-02,1,5,5,차슈 1kg,21,30
2023-09-02,2,1,1,계란 1판,37,60
2023-09-02,2,1,2,돈코츠 육수 1팩,51,80
2023-09-02,2,1,3,쪽파 1봉지,29,50
2023-09-02,2,1,4,마늘 1봉지,26,40
2023-09-02,2,1,5,차슈 1kg,20,30
2023-09-02,2,2,1,계란 1판,36,60
2023-09-02,2,2,2,돈코츠 육수 1팩,57,80
2023-09-02,2,2,3,쪽파 1봉지,33,50
2023-09-02,2,2,4,마늘 1봉지,22,40
2023-09-02,2,2,5,차슈 1kg,22,30
2023-09-02,2,3,1,계란 1판,36,60
2023-09-02,2,3,2,돈코츠 육수 1팩,55,80
2023-09-02,2,3,3,쪽파 1봉지,36,50
2023-09-02,2,3,4,마늘 1봉지,24,40
2023-09-02,2,3,5,차슈 1kg,23,30
2023-09-02,2,4,1,계란 1판,41,60
2023-09-02,2,4,2,돈코츠 육수 1팩,57,80
2023-09-02,2,4,3,쪽파 1봉지,40,50
2023-09-02,2,4,4,마늘 1봉지,27,40
2023-09-02,2,4,5,차슈 1kg,18,30
2023-09-02,2,5,1,계란 1판,38,60
2023-09-02,2,5,2,돈코츠 육수 1팩,53,80
2023-09-02,2,5,3,쪽파 1봉지,34,50
2023-09-02,2,5,4,마늘 1봉지,29,40
2023-09-02,2,5,5,차슈 1kg,22,30
2023-09-02,3,1,1,계란 1판,41,60
