branch_id,item_name,avg_future_demand,mae,rmse
1,계란 1판,44.96911917877649,3.791289126392755,4.426064755700806
1,돈코츠 육수 1팩,59.006691181928154,4.923508127667435,6.0504742905782924
1,마늘 1봉지,27.607245487420293,3.2933849858395403,4.013302484011432
1,쪽파 1봉지,36.40201976147065,3.4466777307225827,4.081481654311863
1,차슈 1kg,20.641675427241967,3.1697820749453003,4.142808762849675
2,계란 1판,47.6601882249593,3.9744603204079474,4.839505676737481
2,돈코츠 육수 1팩,62.19243714530655,4.91601652039619,6.000782040848036
2,마늘 1봉지,29.26785944907746,3.2837140350014566,4.166887446562553
2,쪽파 1봉지,38.230529095759785,5.041187734793488,6.194524503322759
2,차슈 1kg,22.36713943327174,3.1548906437923807,3.7678153816216318
3,계란 1판,49.90686960509834,4.10617739617486,5.126489964418936
3,돈코츠 육수 1팩,65.25998951355679,5.078376236110836,6.309267289826438
3,마늘 1봉지,30.300695909301062,3.691715232859717,4.512453681753103
3,쪽파 1봉지,40.69854155439531,4.702940058555436,6.095357887977551
3,차슈 1kg,23.29247202266354,3.5271524259782723,4.331708311162322
4,계란 1판,52.23297403670053,4.428404007499893,5.577708961135401
4,돈코츠 육수 1팩,67.84922642670743,6.092499369931547,7.405053315457478
4,마늘 1봉지,32.00011473289915,3.71993138859681,4.92086088641106
4,쪽파 1봉지,41.70253687850873,4.200455849644821,5.205821766785352
4,차슈 1kg,24.114080097435462,3.362197653820322,4.2511607163393474
5,계란 1판,54.49609256316069,5.074387634035196,6.187531357163762
5,돈코츠 육수 1팩,71.53516830273206,6.287526338307675,7.813695102737129
5,마늘 1봉지,33.16787770751919,3.632487052767841,4.846502065999246
5,쪽파 1봉지,43.82454508989745,5.0970311086600875,6.150281295245135
5,차슈 1kg,25.76261567456543,3.3722324424388233,4.250109560757444
